,u,i,ts,label,idx
89,5,1033,61203.0,0.0,90
90,15,1029,61233.0,0.0,91
91,15,1028,61711.0,0.0,92
92,9,1034,62015.0,0.0,93
93,5,1035,62083.0,0.0,94
94,15,1029,62430.0,0.0,95
95,15,1029,63443.0,0.0,96
96,17,1036,63902.0,0.0,97
97,15,1028,64037.0,0.0,98
98,2,1023,64288.0,0.0,99
99,2,1024,64468.0,0.0,100
100,2,1026,64651.0,0.0,101
101,15,1028,64672.0,0.0,102
102,2,1020,64864.0,0.0,103
103,2,1021,65073.0,0.0,104
104,15,1029,65367.0,0.0,105
105,5,1037,65553.0,0.0,106
106,18,1038,66837.0,0.0,107
107,9,1039,67089.0,0.0,108
108,17,1040,67117.0,0.0,109
109,14,1041,68451.0,0.0,110
110,16,1042,68592.0,0.0,111
111,9,1043,76161.0,0.0,112
112,19,1044,77017.0,0.0,113
113,19,1045,77281.0,0.0,114
114,6,1046,78379.0,0.0,115
115,9,1034,78381.0,0.0,116
116,1,1047,79749.0,0.0,117
117,1,1048,80017.0,0.0,118
118,19,1021,80139.0,0.0,119
119,19,1049,82076.0,0.0,120
120,5,1016,82281.0,0.0,121
121,19,1021,88272.0,0.0,122
122,3,1050,90483.0,0.0,123
123,19,1051,90703.0,0.0,124
124,15,1052,91374.0,0.0,125
125,15,1048,92479.0,0.0,126
126,15,1047,92748.0,0.0,127
127,15,1052,93892.0,0.0,128
128,15,1053,94627.0,0.0,129
129,15,1053,95640.0,0.0,130
130,15,1048,97480.0,0.0,131
131,15,1047,99599.0,0.0,132
132,15,1052,99863.0,0.0,133
133,15,1054,102526.0,0.0,134
134,15,1054,102939.0,0.0,135
135,5,1037,106521.0,0.0,136
136,15,1055,106911.0,0.0,137
137,15,1056,107199.0,0.0,138
138,15,1057,107466.0,0.0,139
139,5,1036,111068.0,0.0,140
140,5,1058,116060.0,0.0,141
141,5,1059,116780.0,0.0,142
142,18,1060,120509.0,0.0,143
143,5,1061,122573.0,0.0,144
144,13,1005,123099.0,0.0,145
145,5,992,123954.0,0.0,146
146,8,1062,124119.0,0.0,147
147,8,1063,124318.0,0.0,148
148,8,1064,124727.0,0.0,149
149,8,1065,124957.0,0.0,150
150,13,1066,127754.0,0.0,151
151,5,998,130180.0,0.0,152
152,13,1066,130837.0,0.0,153
153,13,1067,131607.0,0.0,154
154,11,1068,132486.0,0.0,155
155,12,1069,133142.0,0.0,156
156,12,1070,133354.0,0.0,157
157,5,1024,133531.0,0.0,158
158,20,1071,133534.0,0.0,159
159,11,1072,136220.0,0.0,160
160,21,1073,138868.0,0.0,161
161,13,1074,144718.0,0.0,162
162,17,1075,146070.0,0.0,163
163,22,1004,146871.0,0.0,164
164,4,1076,147203.0,0.0,165
165,4,1077,147729.0,0.0,166
166,21,1078,147855.0,0.0,167
167,21,1079,148113.0,0.0,168
168,13,1080,148151.0,0.0,169
169,21,1081,148372.0,0.0,170
170,12,1082,148693.0,0.0,171
171,21,1083,148730.0,0.0,172
172,21,1084,148996.0,0.0,173
173,10,1085,149068.0,0.0,174
174,21,1045,149819.0,0.0,175
175,4,1086,150027.0,0.0,176
176,22,1087,150570.0,0.0,177
177,21,1088,150738.0,0.0,178
178,22,1089,150800.0,0.0,179
179,10,1090,150986.0,0.0,180
180,10,1019,151169.0,0.0,181
181,23,1091,153230.0,0.0,182
182,17,1092,153236.0,0.0,183
183,22,986,154163.0,0.0,184
184,9,1027,155127.0,0.0,185
185,4,1093,156377.0,0.0,186
186,24,1036,157255.0,0.0,187
187,9,1094,158024.0,0.0,188
188,22,1089,158965.0,0.0,189
189,24,1095,159365.0,0.0,190
190,22,985,159466.0,0.0,191
191,22,1096,159886.0,0.0,192
192,24,1097,160584.0,0.0,193
193,9,1098,160622.0,0.0,194
194,24,1099,161856.0,0.0,195
195,4,1100,162144.0,0.0,196
196,4,1065,162704.0,0.0,197
197,4,1101,162913.0,0.0,198
198,9,1034,163534.0,0.0,199
199,24,1102,164307.0,0.0,200
200,9,1103,167180.0,0.0,201
201,4,1104,169167.0,0.0,202
202,4,1105,169817.0,0.0,203
203,9,1100,170227.0,0.0,204
204,4,1070,170597.0,0.0,205
205,9,1039,172574.0,0.0,206
206,21,1025,175130.0,0.0,207
207,24,1106,175463.0,0.0,208
208,21,1107,175686.0,0.0,209
209,16,1108,176380.0,0.0,210
210,21,1109,176397.0,0.0,211
211,16,1110,176702.0,0.0,212
212,16,1111,177261.0,0.0,213
213,4,1005,177453.0,0.0,214
214,16,1112,177787.0,0.0,215
215,2,1018,178572.0,0.0,216
216,24,1102,180876.0,0.0,217
217,24,1113,183020.0,0.0,218
218,24,1114,184210.0,0.0,219
219,25,1115,184825.0,0.0,220
220,24,1084,189528.0,0.0,221
221,24,1116,189784.0,0.0,222
222,26,1117,195934.0,0.0,223
223,5,1118,198987.0,0.0,224
224,14,1119,199587.0,0.0,225
225,1,1033,199699.0,0.0,226
226,2,1120,200904.0,0.0,227
227,2,1121,201119.0,0.0,228
228,15,1033,201757.0,0.0,229
229,24,1122,204786.0,0.0,230
230,27,1025,206914.0,0.0,231
231,27,1123,207164.0,0.0,232
232,27,1119,207414.0,0.0,233
233,27,1109,207695.0,0.0,234
234,27,1124,207985.0,0.0,235
235,27,1125,208216.0,0.0,236
236,5,1060,209364.0,0.0,237
237,13,1115,212479.0,0.0,238
238,5,1001,212939.0,0.0,239
239,27,1126,213238.0,0.0,240
240,13,1127,213411.0,0.0,241
241,27,1128,213549.0,0.0,242
242,27,1129,213850.0,0.0,243
243,27,1130,214140.0,0.0,244
244,20,1057,214725.0,0.0,245
245,20,1107,215342.0,0.0,246
246,13,1131,215385.0,0.0,247
247,20,1055,215946.0,0.0,248
248,10,1132,216535.0,0.0,249
249,12,1133,217108.0,0.0,250
250,10,1134,218035.0,0.0,251
251,28,1135,218263.0,0.0,252
252,20,1136,220699.0,0.0,253
253,5,991,221334.0,0.0,254
254,20,1083,222683.0,0.0,255
255,20,1078,222930.0,0.0,256
256,20,1088,223200.0,0.0,257
257,20,1137,223436.0,0.0,258
258,20,1056,224913.0,0.0,259
259,20,1138,226002.0,0.0,260
260,18,1038,227787.0,0.0,261
261,18,1139,228746.0,0.0,262
262,2,1106,229048.0,0.0,263
263,2,1106,229501.0,0.0,264
264,10,988,230181.0,0.0,265
265,2,1106,231219.0,0.0,266
266,2,1120,231671.0,0.0,267
267,2,1028,232067.0,0.0,268
268,2,1106,234147.0,0.0,269
269,28,1050,236926.0,0.0,270
270,5,1021,238950.0,0.0,271
271,28,1140,239031.0,0.0,272
272,26,1141,242155.0,0.0,273
273,8,1142,242166.0,0.0,274
274,26,1141,242375.0,0.0,275
275,4,1143,242401.0,0.0,276
276,9,1144,242673.0,0.0,277
277,8,1013,242927.0,0.0,278
278,22,994,243266.0,0.0,279
279,22,982,243765.0,0.0,280
280,25,1021,243837.0,0.0,281
281,22,1145,244012.0,0.0,282
282,23,1004,244133.0,0.0,283
283,12,1098,244149.0,0.0,284
284,8,1146,246106.0,0.0,285
285,5,1147,246391.0,0.0,286
286,9,1148,246826.0,0.0,287
287,9,1011,247108.0,0.0,288
288,21,1149,247573.0,0.0,289
289,8,1150,249120.0,0.0,290
290,21,1070,251973.0,0.0,291
291,21,1070,252167.0,0.0,292
292,23,1008,252586.0,0.0,293
293,21,1070,252740.0,0.0,294
294,21,1070,253212.0,0.0,295
295,3,1151,253600.0,0.0,296
296,3,984,253877.0,0.0,297
297,18,1060,253962.0,0.0,298
298,9,1152,255384.0,0.0,299
299,23,1153,256316.0,0.0,300
300,16,1122,258692.0,0.0,301
301,16,1122,259673.0,0.0,302
302,9,1098,260143.0,0.0,303
303,9,1039,260756.0,0.0,304
304,21,1088,261837.0,0.0,305
305,9,1154,262148.0,0.0,306
306,2,1106,262523.0,0.0,307
307,2,1120,262710.0,0.0,308
308,2,1028,263101.0,0.0,309
309,24,1155,263151.0,0.0,310
310,2,1156,263583.0,0.0,311
311,9,1098,263659.0,0.0,312
312,3,1157,271709.0,0.0,313
313,16,1158,272153.0,0.0,314
314,2,1120,276027.0,0.0,315
315,2,1156,276505.0,0.0,316
316,5,1159,279464.0,0.0,317
317,5,1006,280723.0,0.0,318
318,5,1037,281607.0,0.0,319
319,2,1160,283098.0,0.0,320
320,2,1160,283432.0,0.0,321
321,2,1160,283853.0,0.0,322
322,15,1033,286946.0,0.0,323
323,15,1033,287743.0,0.0,324
324,8,1161,293533.0,0.0,325
325,11,1072,294311.0,0.0,326
326,28,1050,294474.0,0.0,327
327,29,1162,294562.0,0.0,328
328,11,1163,296816.0,0.0,329
329,11,1164,300775.0,0.0,330
330,11,1072,301276.0,0.0,331
331,11,1165,302089.0,0.0,332
332,11,1068,303944.0,0.0,333
333,4,1166,304107.0,0.0,334
334,15,1044,304488.0,0.0,335
335,11,1165,304535.0,0.0,336
336,5,1167,305142.0,0.0,337
337,4,1168,305285.0,0.0,338
338,4,1018,306811.0,0.0,339
339,15,1106,307042.0,0.0,340
340,4,993,307128.0,0.0,341
341,15,1033,308020.0,0.0,342
342,4,981,308152.0,0.0,343
343,4,1140,308784.0,0.0,344
344,15,1033,308807.0,0.0,345
345,12,1169,309277.0,0.0,346
346,11,1072,309647.0,0.0,347
347,20,1081,310306.0,0.0,348
348,20,1083,310553.0,0.0,349
349,20,1078,311189.0,0.0,350
350,2,1028,311228.0,0.0,351
351,20,1088,311459.0,0.0,352
352,11,1163,311512.0,0.0,353
353,2,1156,311713.0,0.0,354
354,2,1160,313098.0,0.0,355
355,2,1156,313697.0,0.0,356
356,2,1106,314030.0,0.0,357
357,2,1120,314204.0,0.0,358
358,20,1079,314494.0,0.0,359
359,2,1028,314591.0,0.0,360
360,8,1170,314711.0,0.0,361
361,20,1009,314715.0,0.0,362
362,2,1160,314845.0,0.0,363
363,10,1171,314925.0,0.0,364
364,5,1070,315003.0,0.0,365
365,2,1156,315461.0,0.0,366
366,2,1138,316506.0,0.0,367
367,10,1148,317104.0,0.0,368
368,10,1172,317398.0,0.0,369
369,2,1106,318191.0,0.0,370
370,2,1120,318374.0,0.0,371
371,12,1173,318717.0,0.0,372
372,2,1028,318836.0,0.0,373
373,2,1160,319089.0,0.0,374
374,10,993,319542.0,0.0,375
375,2,1156,319719.0,0.0,376
376,21,995,320438.0,0.0,377
377,2,1138,320801.0,0.0,378
378,17,1170,321569.0,0.0,379
379,22,1145,321571.0,0.0,380
380,11,1131,321893.0,0.0,381
381,22,986,322948.0,0.0,382
382,5,1174,323091.0,0.0,383
383,22,1004,323162.0,0.0,384
384,2,1160,323298.0,0.0,385
385,2,1156,323903.0,0.0,386
386,22,988,324654.0,0.0,387
387,2,1138,324962.0,0.0,388
388,5,1175,325757.0,0.0,389
389,22,1089,326078.0,0.0,390
390,2,1106,326310.0,0.0,391
391,2,1120,326474.0,0.0,392
392,24,1102,326606.0,0.0,393
393,2,1028,326881.0,0.0,394
394,2,1160,327135.0,0.0,395
395,8,1176,327352.0,0.0,396
396,2,1156,327739.0,0.0,397
397,17,1177,328768.0,0.0,398
398,2,1138,328792.0,0.0,399
399,9,1072,329677.0,0.0,400
400,21,1178,330920.0,0.0,401
401,22,982,330958.0,0.0,402
402,18,1038,331002.0,0.0,403
403,9,1098,331496.0,0.0,404
404,9,1179,332260.0,0.0,405
405,9,1180,332628.0,0.0,406
406,21,1024,332674.0,0.0,407
407,22,1181,332877.0,0.0,408
408,21,1182,333300.0,0.0,409
409,22,1143,333341.0,0.0,410
410,9,1183,333497.0,0.0,411
411,22,1184,333576.0,0.0,412
412,22,983,333789.0,0.0,413
413,25,1185,336264.0,0.0,414
414,21,1186,336285.0,0.0,415
415,24,1187,337341.0,0.0,416
416,19,1188,338711.0,0.0,417
417,28,1189,340376.0,0.0,418
418,28,1189,340606.0,0.0,419
419,28,1189,340846.0,0.0,420
420,18,1190,340996.0,0.0,421
421,28,1189,341076.0,0.0,422
422,28,1191,341196.0,0.0,423
423,28,1191,341406.0,0.0,424
424,28,1191,341636.0,0.0,425
425,28,1191,341856.0,0.0,426
426,28,1191,342066.0,0.0,427
427,9,1144,342080.0,0.0,428
428,28,1191,342286.0,0.0,429
429,28,1191,342496.0,0.0,430
430,21,1192,342594.0,0.0,431
431,28,1191,342716.0,0.0,432
432,5,1020,342853.0,0.0,433
433,28,1191,342936.0,0.0,434
434,19,1193,343114.0,0.0,435
435,28,1191,343146.0,0.0,436
436,28,1191,343366.0,0.0,437
437,28,1191,343476.0,0.0,438
438,28,1189,343696.0,0.0,439
439,19,1020,343743.0,0.0,440
440,28,1194,343946.0,0.0,441
441,28,1191,344166.0,0.0,442
442,19,1127,344395.0,0.0,443
443,28,1189,344396.0,0.0,444
444,19,1019,344599.0,0.0,445
445,28,1194,344636.0,0.0,446
446,28,1191,344856.0,0.0,447
447,28,1189,345086.0,0.0,448
448,28,1194,345326.0,0.0,449
449,28,1191,345556.0,0.0,450
450,28,1189,345776.0,0.0,451
451,28,1194,346026.0,0.0,452
452,28,1191,346246.0,0.0,453
453,28,1189,346476.0,0.0,454
454,28,1194,346716.0,0.0,455
455,28,1191,346936.0,0.0,456
456,28,1189,347167.0,0.0,457
457,28,1194,347407.0,0.0,458
458,28,1191,347637.0,0.0,459
459,18,989,348687.0,0.0,460
460,28,1195,350197.0,0.0,461
461,28,1196,352127.0,0.0,462
462,15,981,352847.0,0.0,463
463,15,1033,354863.0,0.0,464
464,2,1106,355981.0,0.0,465
465,5,1197,356072.0,0.0,466
466,2,1120,356168.0,0.0,467
467,4,1198,356423.0,0.0,468
468,2,1138,356533.0,0.0,469
469,2,1106,356980.0,0.0,470
470,3,1199,357055.0,0.0,471
471,4,1104,357295.0,0.0,472
472,3,1002,357581.0,0.0,473
473,2,1156,357688.0,0.0,474
474,4,1096,357792.0,0.0,475
475,2,1138,358741.0,0.0,476
476,4,1021,358799.0,0.0,477
477,5,1200,359556.0,0.0,478
478,4,1201,359675.0,0.0,479
479,2,1028,360180.0,0.0,480
480,2,1160,360434.0,0.0,481
481,2,1160,360604.0,0.0,482
482,2,1160,360766.0,0.0,483
483,2,1156,361528.0,0.0,484
484,2,1138,362578.0,0.0,485
485,4,994,363253.0,0.0,486
486,2,1138,363755.0,0.0,487
487,4,1202,364511.0,0.0,488
488,4,1177,365260.0,0.0,489
489,4,1203,370065.0,0.0,490
490,4,1004,370296.0,0.0,491
491,4,1204,371119.0,0.0,492
492,4,1205,371865.0,0.0,493
493,11,1014,374055.0,0.0,494
494,2,1106,375929.0,0.0,495
495,2,1120,376122.0,0.0,496
496,30,1206,376249.0,0.0,497
497,2,1028,376495.0,0.0,498
498,2,1160,376750.0,0.0,499
499,2,1138,376998.0,0.0,500
500,30,1206,377851.0,0.0,501
501,10,1115,386220.0,0.0,502
502,10,1053,387133.0,0.0,503
503,10,1031,387401.0,0.0,504
504,28,1050,388421.0,0.0,505
505,8,1005,392539.0,0.0,506
506,11,1207,393983.0,0.0,507
507,20,1208,394457.0,0.0,508
508,4,1209,395751.0,0.0,509
509,15,1044,395882.0,0.0,510
510,15,1031,396145.0,0.0,511
511,4,1039,396172.0,0.0,512
512,30,1206,396574.0,0.0,513
513,2,1160,396979.0,0.0,514
514,20,1202,398060.0,0.0,515
515,30,1206,398075.0,0.0,516
516,20,1210,398315.0,0.0,517
517,20,1097,398561.0,0.0,518
518,20,1211,398749.0,0.0,519
519,20,1012,398937.0,0.0,520
520,20,1212,399215.0,0.0,521
521,30,1206,399597.0,0.0,522
522,20,1042,399782.0,0.0,523
523,20,1127,400024.0,0.0,524
524,11,1014,400027.0,0.0,525
525,10,1104,400054.0,0.0,526
526,20,1213,400327.0,0.0,527
527,21,1214,400427.0,0.0,528
528,20,1215,400650.0,0.0,529
529,15,1049,400894.0,0.0,530
530,20,1216,400943.0,0.0,531
531,21,1217,401493.0,0.0,532
532,15,1218,401607.0,0.0,533
533,18,1038,402486.0,0.0,534
534,2,1160,404775.0,0.0,535
535,10,1000,405655.0,0.0,536
536,5,1219,407133.0,0.0,537
537,9,1039,407659.0,0.0,538
538,9,1027,409297.0,0.0,539
539,31,1041,409560.0,0.0,540
540,9,1043,409854.0,0.0,541
541,28,1191,412014.0,0.0,542
542,28,1189,412244.0,0.0,543
543,28,1196,412464.0,0.0,544
544,28,1194,412704.0,0.0,545
545,28,1195,412914.0,0.0,546
546,28,1191,413324.0,0.0,547
547,28,1189,413555.0,0.0,548
548,2,1106,413555.0,0.0,549
549,28,1196,413775.0,0.0,550
550,28,1194,414015.0,0.0,551
551,32,1220,415765.0,0.0,552
552,2,1220,416601.0,0.0,553
553,2,1221,416947.0,0.0,554
554,2,1222,417762.0,0.0,555
555,2,1223,418063.0,0.0,556
556,22,986,419397.0,0.0,557
557,22,983,420872.0,0.0,558
558,29,1039,420936.0,0.0,559
559,9,1165,422777.0,0.0,560
560,28,1191,423525.0,0.0,561
561,2,1106,423571.0,0.0,562
562,9,1224,426001.0,0.0,563
563,2,1106,426318.0,0.0,564
564,5,1118,426550.0,0.0,565
565,18,1038,428011.0,0.0,566
566,2,1106,428493.0,0.0,567
567,9,1225,429449.0,0.0,568
568,2,1220,431692.0,0.0,569
569,2,1221,432037.0,0.0,570
570,9,1226,432835.0,0.0,571
571,2,1222,432850.0,0.0,572
572,5,1209,432891.0,0.0,573
573,2,1223,433152.0,0.0,574
574,9,1152,433416.0,0.0,575
575,21,1227,434461.0,0.0,576
576,18,1139,434581.0,0.0,577
577,5,998,435382.0,0.0,578
578,2,1220,437718.0,0.0,579
579,16,1228,437742.0,0.0,580
580,2,1221,438064.0,0.0,581
581,2,1222,438876.0,0.0,582
582,21,1229,438952.0,0.0,583
583,2,1223,439177.0,0.0,584
584,21,1077,439207.0,0.0,585
585,5,1230,439826.0,0.0,586
586,18,1139,440692.0,0.0,587
587,15,981,443981.0,0.0,588
588,15,1231,445257.0,0.0,589
589,15,1056,447072.0,0.0,590
590,15,1096,447283.0,0.0,591
591,20,1136,451366.0,0.0,592
592,6,1232,452543.0,0.0,593
593,20,1056,453181.0,0.0,594
594,20,1084,453868.0,0.0,595
595,15,1027,454781.0,0.0,596
596,15,1233,456098.0,0.0,597
597,2,1106,461575.0,0.0,598
598,2,1220,464660.0,0.0,599
599,2,1221,465005.0,0.0,600
600,22,1144,468272.0,0.0,601
601,30,1172,469075.0,0.0,602
602,30,1234,470528.0,0.0,603
603,5,1023,471955.0,0.0,604
604,22,1235,472028.0,0.0,605
605,22,1087,472255.0,0.0,606
606,29,1236,474626.0,0.0,607
607,22,1004,476045.0,0.0,608
608,22,994,476311.0,0.0,609
609,5,1059,477034.0,0.0,610
610,22,1144,477037.0,0.0,611
611,22,994,477891.0,0.0,612
612,23,1237,481779.0,0.0,613
613,9,1238,482235.0,0.0,614
614,22,994,482508.0,0.0,615
615,9,1225,483367.0,0.0,616
616,21,986,483549.0,0.0,617
617,21,1194,483774.0,0.0,618
618,21,1103,484077.0,0.0,619
619,21,997,484375.0,0.0,620
620,21,1239,484858.0,0.0,621
621,21,1189,485418.0,0.0,622
622,5,1040,490596.0,0.0,623
623,8,1050,491193.0,0.0,624
624,14,1177,491467.0,0.0,625
625,21,1240,492355.0,0.0,626
626,9,1154,492634.0,0.0,627
627,21,1241,493052.0,0.0,628
628,5,1113,494116.0,0.0,629
629,21,1242,494681.0,0.0,630
630,21,1186,495305.0,0.0,631
631,9,1011,496147.0,0.0,632
632,2,1138,496511.0,0.0,633
633,21,1210,496628.0,0.0,634
634,9,998,497395.0,0.0,635
635,2,1120,497825.0,0.0,636
636,2,1028,498118.0,0.0,637
637,2,1160,498374.0,0.0,638
638,2,1156,498848.0,0.0,639
639,23,1193,499725.0,0.0,640
640,19,1019,499861.0,0.0,641
641,2,1120,499948.0,0.0,642
642,19,1019,499967.0,0.0,643
643,2,1028,500339.0,0.0,644
644,2,1160,500594.0,0.0,645
645,2,1156,501200.0,0.0,646
646,2,1106,501412.0,0.0,647
647,2,1120,501598.0,0.0,648
648,2,1028,501989.0,0.0,649
649,2,1160,502244.0,0.0,650
650,2,1156,502849.0,0.0,651
651,2,1138,503896.0,0.0,652
652,19,1243,507798.0,0.0,653
653,16,1244,512807.0,0.0,654
654,9,1131,516535.0,0.0,655
655,19,1028,517201.0,0.0,656
656,16,1116,519057.0,0.0,657
657,18,1139,520868.0,0.0,658
658,28,1191,521690.0,0.0,659
659,28,1196,521920.0,0.0,660
660,28,1194,522160.0,0.0,661
661,28,1195,522370.0,0.0,662
662,28,1191,522790.0,0.0,663
663,28,1189,523010.0,0.0,664
664,19,1061,524554.0,0.0,665
665,23,1153,525087.0,0.0,666
666,19,1245,527547.0,0.0,667
667,3,1050,528746.0,0.0,668
668,33,1004,530107.0,0.0,669
669,33,1246,531414.0,0.0,670
670,5,1247,531492.0,0.0,671
671,2,993,539768.0,0.0,672
672,2,1001,540133.0,0.0,673
673,2,1120,540667.0,0.0,674
674,2,985,540921.0,0.0,675
675,8,1005,556026.0,0.0,676
676,8,1248,556395.0,0.0,677
677,8,1150,557922.0,0.0,678
678,28,1249,558223.0,0.0,679
679,34,1250,566267.0,0.0,680
680,34,1250,567649.0,0.0,681
681,9,1037,569600.0,0.0,682
682,35,1245,573075.0,0.0,683
683,21,1251,573315.0,0.0,684
684,21,1091,573958.0,0.0,685
685,14,1252,574798.0,0.0,686
686,34,1250,574798.0,0.0,687
687,9,1013,574982.0,0.0,688
688,34,1250,576688.0,0.0,689
689,5,1175,576749.0,0.0,690
690,18,1139,580321.0,0.0,691
691,22,994,583058.0,0.0,692
692,22,1253,584007.0,0.0,693
693,22,983,584834.0,0.0,694
694,18,1139,585123.0,0.0,695
695,16,1243,585364.0,0.0,696
696,18,1060,586870.0,0.0,697
697,16,1254,586877.0,0.0,698
698,16,1255,588338.0,0.0,699
699,5,1026,589801.0,0.0,700
700,9,1039,591708.0,0.0,701
701,8,1050,592816.0,0.0,702
702,35,1245,593613.0,0.0,703
703,9,1155,593792.0,0.0,704
704,8,1256,594217.0,0.0,705
705,8,1048,595818.0,0.0,706
706,23,1091,595938.0,0.0,707
707,16,1013,596285.0,0.0,708
708,16,1027,596522.0,0.0,709
709,23,1120,598305.0,0.0,710
710,18,1038,598922.0,0.0,711
711,18,1060,600105.0,0.0,712
712,34,1250,601007.0,0.0,713
713,9,1100,601272.0,0.0,714
714,9,1257,602001.0,0.0,715
715,2,1120,602443.0,0.0,716
716,15,1047,602633.0,0.0,717
717,18,989,603089.0,0.0,718
718,1,1258,603361.0,0.0,719
719,18,1139,607285.0,0.0,720
720,33,1259,610739.0,0.0,721
721,33,1144,612339.0,0.0,722
722,33,1038,615071.0,0.0,723
723,33,1260,620368.0,0.0,724
724,5,1261,624442.0,0.0,725
725,33,1260,625331.0,0.0,726
726,1,1168,626415.0,0.0,727
727,1,1244,626651.0,0.0,728
728,1,1262,626881.0,0.0,729
729,1,1153,627068.0,0.0,730
730,1,1263,627262.0,0.0,731
731,1,1264,627629.0,0.0,732
732,1,1136,628004.0,0.0,733
733,1,1031,628274.0,0.0,734
734,1,1049,628534.0,0.0,735
735,1,1265,628773.0,0.0,736
736,1,1266,629033.0,0.0,737
737,1,1006,629694.0,0.0,738
738,1,1009,630024.0,0.0,739
739,1,1008,630450.0,0.0,740
740,30,1267,631894.0,0.0,741
741,30,1267,635188.0,0.0,742
742,8,1268,636562.0,0.0,743
743,14,1269,639412.0,0.0,744
744,13,981,643509.0,0.0,745
745,13,1087,643750.0,0.0,746
746,13,1056,643970.0,0.0,747
747,13,1096,644191.0,0.0,748
748,13,1057,644442.0,0.0,749
749,13,1254,644683.0,0.0,750
750,13,1246,644913.0,0.0,751
751,13,1270,645454.0,0.0,752
752,13,1271,645734.0,0.0,753
753,13,1127,646596.0,0.0,754
754,5,1033,647055.0,0.0,755
755,12,1082,651304.0,0.0,756
756,5,992,652696.0,0.0,757
757,13,1198,653216.0,0.0,758
758,2,1160,657569.0,0.0,759
759,2,1156,658177.0,0.0,760
760,12,1098,658514.0,0.0,761
761,2,1138,659229.0,0.0,762
762,13,1042,659311.0,0.0,763
763,3,1272,660382.0,0.0,764
764,10,1133,660412.0,0.0,765
765,13,1273,661024.0,0.0,766
766,17,1274,661248.0,0.0,767
767,2,1120,662156.0,0.0,768
768,9,1226,662317.0,0.0,769
769,2,1028,662549.0,0.0,770
770,2,1160,662804.0,0.0,771
771,2,1156,663410.0,0.0,772
772,3,1275,663466.0,0.0,773
773,2,1138,664459.0,0.0,774
774,13,1276,664500.0,0.0,775
775,18,1038,664672.0,0.0,776
776,5,1058,665768.0,0.0,777
777,10,1277,668585.0,0.0,778
778,15,981,668642.0,0.0,779
779,10,1219,668867.0,0.0,780
