source,destination,timestamp,state_label,comma_separated_list_of_features
4,52,61203.0,0,0.0,0.0
14,48,61233.0,0,0.0,0.0
14,47,61711.0,0,0.0,0.0
8,53,62015.0,0,0.0,0.0
4,54,62083.0,0,0.0,0.0
14,48,62430.0,0,0.0,0.0
14,48,63443.0,0,0.0,0.0
16,55,63902.0,0,0.0,0.0
14,47,64037.0,0,0.0,0.0
1,42,64288.0,0,0.0,0.0
1,43,64468.0,0,0.0,0.0
1,45,64651.0,0,0.0,0.0
14,47,64672.0,0,0.0,0.0
1,39,64864.0,0,0.0,0.0
1,40,65073.0,0,0.0,0.0
14,48,65367.0,0,0.0,0.0
4,56,65553.0,0,0.0,0.0
17,57,66837.0,0,0.0,0.0
8,58,67089.0,0,0.0,0.0
16,59,67117.0,0,0.0,0.0
13,60,68451.0,0,0.0,0.0
15,61,68592.0,0,0.0,0.0
8,62,76161.0,0,0.0,0.0
18,63,77017.0,0,0.0,0.0
18,64,77281.0,0,0.0,0.0
5,65,78379.0,0,0.0,0.0
8,53,78381.0,0,0.0,0.0
0,66,79749.0,0,0.0,0.0
0,67,80017.0,0,0.0,0.0
18,40,80139.0,0,0.0,0.0
18,68,82076.0,0,0.0,0.0
4,35,82281.0,0,0.0,0.0
18,40,88272.0,0,0.0,0.0
2,69,90483.0,0,0.0,0.0
18,70,90703.0,0,0.0,0.0
14,71,91374.0,0,0.0,0.0
14,67,92479.0,0,0.0,0.0
14,66,92748.0,0,0.0,0.0
14,71,93892.0,0,0.0,0.0
14,72,94627.0,0,0.0,0.0
14,72,95640.0,0,0.0,0.0
14,67,97480.0,0,0.0,0.0
14,66,99599.0,0,0.0,0.0
14,71,99863.0,0,0.0,0.0
14,73,102526.0,0,0.0,0.0
14,73,102939.0,0,0.0,0.0
4,56,106521.0,0,0.0,0.0
14,74,106911.0,0,0.0,0.0
14,75,107199.0,0,0.0,0.0
14,76,107466.0,0,0.0,0.0
4,55,111068.0,0,0.0,0.0
4,77,116060.0,0,0.0,0.0
4,78,116780.0,0,0.0,0.0
17,79,120509.0,0,0.0,0.0
4,80,122573.0,0,0.0,0.0
12,24,123099.0,0,0.0,0.0
4,11,123954.0,0,0.0,0.0
7,81,124119.0,0,0.0,0.0
7,82,124318.0,0,0.0,0.0
7,83,124727.0,0,0.0,0.0
7,84,124957.0,0,0.0,0.0
12,85,127754.0,0,0.0,0.0
4,17,130180.0,0,0.0,0.0
12,85,130837.0,0,0.0,0.0
12,86,131607.0,0,0.0,0.0
10,87,132486.0,0,0.0,0.0
11,88,133142.0,0,0.0,0.0
11,89,133354.0,0,0.0,0.0
4,43,133531.0,0,0.0,0.0
19,90,133534.0,0,0.0,0.0
10,91,136220.0,0,0.0,0.0
20,92,138868.0,0,0.0,0.0
12,93,144718.0,0,0.0,0.0
16,94,146070.0,0,0.0,0.0
21,23,146871.0,0,0.0,0.0
3,95,147203.0,0,0.0,0.0
3,96,147729.0,0,0.0,0.0
20,97,147855.0,0,0.0,0.0
20,98,148113.0,0,0.0,0.0
12,99,148151.0,0,0.0,0.0
20,100,148372.0,0,0.0,0.0
11,101,148693.0,0,0.0,0.0
20,102,148730.0,0,0.0,0.0
20,103,148996.0,0,0.0,0.0
9,104,149068.0,0,0.0,0.0
20,64,149819.0,0,0.0,0.0
3,105,150027.0,0,0.0,0.0
21,106,150570.0,0,0.0,0.0
20,107,150738.0,0,0.0,0.0
21,108,150800.0,0,0.0,0.0
9,109,150986.0,0,0.0,0.0
9,38,151169.0,0,0.0,0.0
22,110,153230.0,0,0.0,0.0
16,111,153236.0,0,0.0,0.0
21,5,154163.0,0,0.0,0.0
8,46,155127.0,0,0.0,0.0
3,112,156377.0,0,0.0,0.0
23,55,157255.0,0,0.0,0.0
8,113,158024.0,0,0.0,0.0
21,108,158965.0,0,0.0,0.0
23,114,159365.0,0,0.0,0.0
21,4,159466.0,0,0.0,0.0
21,115,159886.0,0,0.0,0.0
23,116,160584.0,0,0.0,0.0
8,117,160622.0,0,0.0,0.0
23,118,161856.0,0,0.0,0.0
3,119,162144.0,0,0.0,0.0
3,84,162704.0,0,0.0,0.0
3,120,162913.0,0,0.0,0.0
8,53,163534.0,0,0.0,0.0
23,121,164307.0,0,0.0,0.0
8,122,167180.0,0,0.0,0.0
3,123,169167.0,0,0.0,0.0
3,124,169817.0,0,0.0,0.0
8,119,170227.0,0,0.0,0.0
3,89,170597.0,0,0.0,0.0
8,58,172574.0,0,0.0,0.0
20,44,175130.0,0,0.0,0.0
23,125,175463.0,0,0.0,0.0
20,126,175686.0,0,0.0,0.0
15,127,176380.0,0,0.0,0.0
20,128,176397.0,0,0.0,0.0
15,129,176702.0,0,0.0,0.0
15,130,177261.0,0,0.0,0.0
3,24,177453.0,0,0.0,0.0
15,131,177787.0,0,0.0,0.0
1,37,178572.0,0,0.0,0.0
23,121,180876.0,0,0.0,0.0
23,132,183020.0,0,0.0,0.0
23,133,184210.0,0,0.0,0.0
24,134,184825.0,0,0.0,0.0
23,103,189528.0,0,0.0,0.0
23,135,189784.0,0,0.0,0.0
25,136,195934.0,0,0.0,0.0
4,137,198987.0,0,0.0,0.0
13,138,199587.0,0,0.0,0.0
0,52,199699.0,0,0.0,0.0
1,139,200904.0,0,0.0,0.0
1,140,201119.0,0,0.0,0.0
14,52,201757.0,0,0.0,0.0
23,141,204786.0,0,0.0,0.0
26,44,206914.0,0,0.0,0.0
26,142,207164.0,0,0.0,0.0
26,138,207414.0,0,0.0,0.0
26,128,207695.0,0,0.0,0.0
26,143,207985.0,0,0.0,0.0
26,144,208216.0,0,0.0,0.0
4,79,209364.0,0,0.0,0.0
12,134,212479.0,0,0.0,0.0
4,20,212939.0,0,0.0,0.0
26,145,213238.0,0,0.0,0.0
12,146,213411.0,0,0.0,0.0
26,147,213549.0,0,0.0,0.0
26,148,213850.0,0,0.0,0.0
26,149,214140.0,0,0.0,0.0
19,76,214725.0,0,0.0,0.0
19,126,215342.0,0,0.0,0.0
12,150,215385.0,0,0.0,0.0
19,74,215946.0,0,0.0,0.0
9,151,216535.0,0,0.0,0.0
11,152,217108.0,0,0.0,0.0
9,153,218035.0,0,0.0,0.0
27,154,218263.0,0,0.0,0.0
19,155,220699.0,0,0.0,0.0
4,10,221334.0,0,0.0,0.0
19,102,222683.0,0,0.0,0.0
19,97,222930.0,0,0.0,0.0
19,107,223200.0,0,0.0,0.0
19,156,223436.0,0,0.0,0.0
19,75,224913.0,0,0.0,0.0
19,157,226002.0,0,0.0,0.0
17,57,227787.0,0,0.0,0.0
17,158,228746.0,0,0.0,0.0
1,125,229048.0,0,0.0,0.0
1,125,229501.0,0,0.0,0.0
9,7,230181.0,0,0.0,0.0
1,125,231219.0,0,0.0,0.0
1,139,231671.0,0,0.0,0.0
1,47,232067.0,0,0.0,0.0
1,125,234147.0,0,0.0,0.0
27,69,236926.0,0,0.0,0.0
4,40,238950.0,0,0.0,0.0
27,159,239031.0,0,0.0,0.0
25,160,242155.0,0,0.0,0.0
7,161,242166.0,0,0.0,0.0
25,160,242375.0,0,0.0,0.0
3,162,242401.0,0,0.0,0.0
8,163,242673.0,0,0.0,0.0
7,32,242927.0,0,0.0,0.0
21,13,243266.0,0,0.0,0.0
21,1,243765.0,0,0.0,0.0
24,40,243837.0,0,0.0,0.0
21,164,244012.0,0,0.0,0.0
22,23,244133.0,0,0.0,0.0
11,117,244149.0,0,0.0,0.0
7,165,246106.0,0,0.0,0.0
4,166,246391.0,0,0.0,0.0
8,167,246826.0,0,0.0,0.0
8,30,247108.0,0,0.0,0.0
20,168,247573.0,0,0.0,0.0
7,169,249120.0,0,0.0,0.0
20,89,251973.0,0,0.0,0.0
20,89,252167.0,0,0.0,0.0
22,27,252586.0,0,0.0,0.0
20,89,252740.0,0,0.0,0.0
20,89,253212.0,0,0.0,0.0
2,170,253600.0,0,0.0,0.0
2,3,253877.0,0,0.0,0.0
17,79,253962.0,0,0.0,0.0
8,171,255384.0,0,0.0,0.0
22,172,256316.0,0,0.0,0.0
15,141,258692.0,0,0.0,0.0
15,141,259673.0,0,0.0,0.0
8,117,260143.0,0,0.0,0.0
8,58,260756.0,0,0.0,0.0
20,107,261837.0,0,0.0,0.0
8,173,262148.0,0,0.0,0.0
1,125,262523.0,0,0.0,0.0
1,139,262710.0,0,0.0,0.0
1,47,263101.0,0,0.0,0.0
23,174,263151.0,0,0.0,0.0
1,175,263583.0,0,0.0,0.0
8,117,263659.0,0,0.0,0.0
2,176,271709.0,0,0.0,0.0
15,177,272153.0,0,0.0,0.0
1,139,276027.0,0,0.0,0.0
1,175,276505.0,0,0.0,0.0
4,178,279464.0,0,0.0,0.0
4,25,280723.0,0,0.0,0.0
4,56,281607.0,0,0.0,0.0
1,179,283098.0,0,0.0,0.0
1,179,283432.0,0,0.0,0.0
1,179,283853.0,0,0.0,0.0
14,52,286946.0,0,0.0,0.0
14,52,287743.0,0,0.0,0.0
7,180,293533.0,0,0.0,0.0
10,91,294311.0,0,0.0,0.0
27,69,294474.0,0,0.0,0.0
28,181,294562.0,0,0.0,0.0
10,182,296816.0,0,0.0,0.0
10,183,300775.0,0,0.0,0.0
10,91,301276.0,0,0.0,0.0
10,184,302089.0,0,0.0,0.0
10,87,303944.0,0,0.0,0.0
3,185,304107.0,0,0.0,0.0
14,63,304488.0,0,0.0,0.0
10,184,304535.0,0,0.0,0.0
4,186,305142.0,0,0.0,0.0
3,187,305285.0,0,0.0,0.0
3,37,306811.0,0,0.0,0.0
14,125,307042.0,0,0.0,0.0
3,12,307128.0,0,0.0,0.0
14,52,308020.0,0,0.0,0.0
3,0,308152.0,0,0.0,0.0
3,159,308784.0,0,0.0,0.0
14,52,308807.0,0,0.0,0.0
11,188,309277.0,0,0.0,0.0
10,91,309647.0,0,0.0,0.0
19,100,310306.0,0,0.0,0.0
19,102,310553.0,0,0.0,0.0
19,97,311189.0,0,0.0,0.0
1,47,311228.0,0,0.0,0.0
19,107,311459.0,0,0.0,0.0
10,182,311512.0,0,0.0,0.0
1,175,311713.0,0,0.0,0.0
1,179,313098.0,0,0.0,0.0
1,175,313697.0,0,0.0,0.0
1,125,314030.0,0,0.0,0.0
1,139,314204.0,0,0.0,0.0
19,98,314494.0,0,0.0,0.0
1,47,314591.0,0,0.0,0.0
7,189,314711.0,0,0.0,0.0
19,28,314715.0,0,0.0,0.0
1,179,314845.0,0,0.0,0.0
9,190,314925.0,0,0.0,0.0
4,89,315003.0,0,0.0,0.0
1,175,315461.0,0,0.0,0.0
1,157,316506.0,0,0.0,0.0
9,167,317104.0,0,0.0,0.0
9,191,317398.0,0,0.0,0.0
1,125,318191.0,0,0.0,0.0
1,139,318374.0,0,0.0,0.0
11,192,318717.0,0,0.0,0.0
1,47,318836.0,0,0.0,0.0
1,179,319089.0,0,0.0,0.0
9,12,319542.0,0,0.0,0.0
1,175,319719.0,0,0.0,0.0
20,14,320438.0,0,0.0,0.0
1,157,320801.0,0,0.0,0.0
16,189,321569.0,0,0.0,0.0
21,164,321571.0,0,0.0,0.0
10,150,321893.0,0,0.0,0.0
21,5,322948.0,0,0.0,0.0
4,193,323091.0,0,0.0,0.0
21,23,323162.0,0,0.0,0.0
1,179,323298.0,0,0.0,0.0
1,175,323903.0,0,0.0,0.0
21,7,324654.0,0,0.0,0.0
1,157,324962.0,0,0.0,0.0
4,194,325757.0,0,0.0,0.0
21,108,326078.0,0,0.0,0.0
1,125,326310.0,0,0.0,0.0
1,139,326474.0,0,0.0,0.0
23,121,326606.0,0,0.0,0.0
1,47,326881.0,0,0.0,0.0
1,179,327135.0,0,0.0,0.0
7,195,327352.0,0,0.0,0.0
1,175,327739.0,0,0.0,0.0
16,196,328768.0,0,0.0,0.0
1,157,328792.0,0,0.0,0.0
8,91,329677.0,0,0.0,0.0
20,197,330920.0,0,0.0,0.0
21,1,330958.0,0,0.0,0.0
17,57,331002.0,0,0.0,0.0
8,117,331496.0,0,0.0,0.0
8,198,332260.0,0,0.0,0.0
8,199,332628.0,0,0.0,0.0
20,43,332674.0,0,0.0,0.0
21,200,332877.0,0,0.0,0.0
20,201,333300.0,0,0.0,0.0
21,162,333341.0,0,0.0,0.0
8,202,333497.0,0,0.0,0.0
21,203,333576.0,0,0.0,0.0
21,2,333789.0,0,0.0,0.0
24,204,336264.0,0,0.0,0.0
20,205,336285.0,0,0.0,0.0
23,206,337341.0,0,0.0,0.0
18,207,338711.0,0,0.0,0.0
27,208,340376.0,0,0.0,0.0
27,208,340606.0,0,0.0,0.0
27,208,340846.0,0,0.0,0.0
17,209,340996.0,0,0.0,0.0
27,208,341076.0,0,0.0,0.0
27,210,341196.0,0,0.0,0.0
27,210,341406.0,0,0.0,0.0
27,210,341636.0,0,0.0,0.0
27,210,341856.0,0,0.0,0.0
27,210,342066.0,0,0.0,0.0
8,163,342080.0,0,0.0,0.0
27,210,342286.0,0,0.0,0.0
27,210,342496.0,0,0.0,0.0
20,211,342594.0,0,0.0,0.0
27,210,342716.0,0,0.0,0.0
4,39,342853.0,0,0.0,0.0
27,210,342936.0,0,0.0,0.0
18,212,343114.0,0,0.0,0.0
27,210,343146.0,0,0.0,0.0
27,210,343366.0,0,0.0,0.0
27,210,343476.0,0,0.0,0.0
27,208,343696.0,0,0.0,0.0
18,39,343743.0,0,0.0,0.0
27,213,343946.0,0,0.0,0.0
27,210,344166.0,0,0.0,0.0
18,146,344395.0,0,0.0,0.0
27,208,344396.0,0,0.0,0.0
18,38,344599.0,0,0.0,0.0
27,213,344636.0,0,0.0,0.0
27,210,344856.0,0,0.0,0.0
27,208,345086.0,0,0.0,0.0
27,213,345326.0,0,0.0,0.0
27,210,345556.0,0,0.0,0.0
27,208,345776.0,0,0.0,0.0
27,213,346026.0,0,0.0,0.0
27,210,346246.0,0,0.0,0.0
27,208,346476.0,0,0.0,0.0
27,213,346716.0,0,0.0,0.0
27,210,346936.0,0,0.0,0.0
27,208,347167.0,0,0.0,0.0
27,213,347407.0,0,0.0,0.0
27,210,347637.0,0,0.0,0.0
17,8,348687.0,0,0.0,0.0
27,214,350197.0,0,0.0,0.0
27,215,352127.0,0,0.0,0.0
14,0,352847.0,0,0.0,0.0
14,52,354863.0,0,0.0,0.0
1,125,355981.0,0,0.0,0.0
4,216,356072.0,0,0.0,0.0
1,139,356168.0,0,0.0,0.0
3,217,356423.0,0,0.0,0.0
1,157,356533.0,0,0.0,0.0
1,125,356980.0,0,0.0,0.0
2,218,357055.0,0,0.0,0.0
3,123,357295.0,0,0.0,0.0
2,21,357581.0,0,0.0,0.0
1,175,357688.0,0,0.0,0.0
3,115,357792.0,0,0.0,0.0
1,157,358741.0,0,0.0,0.0
3,40,358799.0,0,0.0,0.0
4,219,359556.0,0,0.0,0.0
3,220,359675.0,0,0.0,0.0
1,47,360180.0,0,0.0,0.0
1,179,360434.0,0,0.0,0.0
1,179,360604.0,0,0.0,0.0
1,179,360766.0,0,0.0,0.0
1,175,361528.0,0,0.0,0.0
1,157,362578.0,0,0.0,0.0
3,13,363253.0,0,0.0,0.0
1,157,363755.0,0,0.0,0.0
3,221,364511.0,0,0.0,0.0
3,196,365260.0,0,0.0,0.0
3,222,370065.0,0,0.0,0.0
3,23,370296.0,0,0.0,0.0
3,223,371119.0,0,0.0,0.0
3,224,371865.0,0,0.0,0.0
10,33,374055.0,0,0.0,0.0
1,125,375929.0,0,0.0,0.0
1,139,376122.0,0,0.0,0.0
29,225,376249.0,0,0.0,0.0
1,47,376495.0,0,0.0,0.0
1,179,376750.0,0,0.0,0.0
1,157,376998.0,0,0.0,0.0
29,225,377851.0,0,0.0,0.0
9,134,386220.0,0,0.0,0.0
9,72,387133.0,0,0.0,0.0
9,50,387401.0,0,0.0,0.0
27,69,388421.0,0,0.0,0.0
7,24,392539.0,0,0.0,0.0
10,226,393983.0,0,0.0,0.0
19,227,394457.0,0,0.0,0.0
3,228,395751.0,0,0.0,0.0
14,63,395882.0,0,0.0,0.0
14,50,396145.0,0,0.0,0.0
3,58,396172.0,0,0.0,0.0
29,225,396574.0,0,0.0,0.0
1,179,396979.0,0,0.0,0.0
19,221,398060.0,0,0.0,0.0
29,225,398075.0,0,0.0,0.0
19,229,398315.0,0,0.0,0.0
19,116,398561.0,0,0.0,0.0
19,230,398749.0,0,0.0,0.0
19,31,398937.0,0,0.0,0.0
19,231,399215.0,0,0.0,0.0
29,225,399597.0,0,0.0,0.0
19,61,399782.0,0,0.0,0.0
19,146,400024.0,0,0.0,0.0
10,33,400027.0,0,0.0,0.0
9,123,400054.0,0,0.0,0.0
19,232,400327.0,0,0.0,0.0
20,233,400427.0,0,0.0,0.0
19,234,400650.0,0,0.0,0.0
14,68,400894.0,0,0.0,0.0
19,235,400943.0,0,0.0,0.0
20,236,401493.0,0,0.0,0.0
14,237,401607.0,0,0.0,0.0
17,57,402486.0,0,0.0,0.0
1,179,404775.0,0,0.0,0.0
9,19,405655.0,0,0.0,0.0
4,238,407133.0,0,0.0,0.0
8,58,407659.0,0,0.0,0.0
8,46,409297.0,0,0.0,0.0
30,60,409560.0,0,0.0,0.0
8,62,409854.0,0,0.0,0.0
27,210,412014.0,0,0.0,0.0
27,208,412244.0,0,0.0,0.0
27,215,412464.0,0,0.0,0.0
27,213,412704.0,0,0.0,0.0
27,214,412914.0,0,0.0,0.0
27,210,413324.0,0,0.0,0.0
27,208,413555.0,0,0.0,0.0
1,125,413555.0,0,0.0,0.0
27,215,413775.0,0,0.0,0.0
27,213,414015.0,0,0.0,0.0
31,239,415765.0,0,0.0,0.0
1,239,416601.0,0,0.0,0.0
1,240,416947.0,0,0.0,0.0
1,241,417762.0,0,0.0,0.0
1,242,418063.0,0,0.0,0.0
21,5,419397.0,0,0.0,0.0
21,2,420872.0,0,0.0,0.0
28,58,420936.0,0,0.0,0.0
8,184,422777.0,0,0.0,0.0
27,210,423525.0,0,0.0,0.0
1,125,423571.0,0,0.0,0.0
8,243,426001.0,0,0.0,0.0
1,125,426318.0,0,0.0,0.0
4,137,426550.0,0,0.0,0.0
17,57,428011.0,0,0.0,0.0
1,125,428493.0,0,0.0,0.0
8,244,429449.0,0,0.0,0.0
1,239,431692.0,0,0.0,0.0
1,240,432037.0,0,0.0,0.0
8,245,432835.0,0,0.0,0.0
1,241,432850.0,0,0.0,0.0
4,228,432891.0,0,0.0,0.0
1,242,433152.0,0,0.0,0.0
8,171,433416.0,0,0.0,0.0
20,246,434461.0,0,0.0,0.0
17,158,434581.0,0,0.0,0.0
4,17,435382.0,0,0.0,0.0
1,239,437718.0,0,0.0,0.0
15,247,437742.0,0,0.0,0.0
1,240,438064.0,0,0.0,0.0
1,241,438876.0,0,0.0,0.0
20,248,438952.0,0,0.0,0.0
1,242,439177.0,0,0.0,0.0
20,96,439207.0,0,0.0,0.0
4,249,439826.0,0,0.0,0.0
17,158,440692.0,0,0.0,0.0
14,0,443981.0,0,0.0,0.0
14,250,445257.0,0,0.0,0.0
14,75,447072.0,0,0.0,0.0
14,115,447283.0,0,0.0,0.0
19,155,451366.0,0,0.0,0.0
5,251,452543.0,0,0.0,0.0
19,75,453181.0,0,0.0,0.0
19,103,453868.0,0,0.0,0.0
14,46,454781.0,0,0.0,0.0
14,252,456098.0,0,0.0,0.0
1,125,461575.0,0,0.0,0.0
1,239,464660.0,0,0.0,0.0
1,240,465005.0,0,0.0,0.0
21,163,468272.0,0,0.0,0.0
29,191,469075.0,0,0.0,0.0
29,253,470528.0,0,0.0,0.0
4,42,471955.0,0,0.0,0.0
21,254,472028.0,0,0.0,0.0
21,106,472255.0,0,0.0,0.0
28,255,474626.0,0,0.0,0.0
21,23,476045.0,0,0.0,0.0
21,13,476311.0,0,0.0,0.0
4,78,477034.0,0,0.0,0.0
21,163,477037.0,0,0.0,0.0
21,13,477891.0,0,0.0,0.0
22,256,481779.0,0,0.0,0.0
8,257,482235.0,0,0.0,0.0
21,13,482508.0,0,0.0,0.0
8,244,483367.0,0,0.0,0.0
20,5,483549.0,0,0.0,0.0
20,213,483774.0,0,0.0,0.0
20,122,484077.0,0,0.0,0.0
20,16,484375.0,0,0.0,0.0
20,258,484858.0,0,0.0,0.0
20,208,485418.0,0,0.0,0.0
4,59,490596.0,0,0.0,0.0
7,69,491193.0,0,0.0,0.0
13,196,491467.0,0,0.0,0.0
20,259,492355.0,0,0.0,0.0
8,173,492634.0,0,0.0,0.0
20,260,493052.0,0,0.0,0.0
4,132,494116.0,0,0.0,0.0
20,261,494681.0,0,0.0,0.0
20,205,495305.0,0,0.0,0.0
8,30,496147.0,0,0.0,0.0
1,157,496511.0,0,0.0,0.0
20,229,496628.0,0,0.0,0.0
8,17,497395.0,0,0.0,0.0
1,139,497825.0,0,0.0,0.0
1,47,498118.0,0,0.0,0.0
1,179,498374.0,0,0.0,0.0
1,175,498848.0,0,0.0,0.0
22,212,499725.0,0,0.0,0.0
18,38,499861.0,0,0.0,0.0
1,139,499948.0,0,0.0,0.0
18,38,499967.0,0,0.0,0.0
1,47,500339.0,0,0.0,0.0
1,179,500594.0,0,0.0,0.0
1,175,501200.0,0,0.0,0.0
1,125,501412.0,0,0.0,0.0
1,139,501598.0,0,0.0,0.0
1,47,501989.0,0,0.0,0.0
1,179,502244.0,0,0.0,0.0
1,175,502849.0,0,0.0,0.0
1,157,503896.0,0,0.0,0.0
18,262,507798.0,0,0.0,0.0
15,263,512807.0,0,0.0,0.0
8,150,516535.0,0,0.0,0.0
18,47,517201.0,0,0.0,0.0
15,135,519057.0,0,0.0,0.0
17,158,520868.0,0,0.0,0.0
27,210,521690.0,0,0.0,0.0
27,215,521920.0,0,0.0,0.0
27,213,522160.0,0,0.0,0.0
27,214,522370.0,0,0.0,0.0
27,210,522790.0,0,0.0,0.0
27,208,523010.0,0,0.0,0.0
18,80,524554.0,0,0.0,0.0
22,172,525087.0,0,0.0,0.0
18,264,527547.0,0,0.0,0.0
2,69,528746.0,0,0.0,0.0
32,23,530107.0,0,0.0,0.0
32,265,531414.0,0,0.0,0.0
4,266,531492.0,0,0.0,0.0
1,12,539768.0,0,0.0,0.0
1,20,540133.0,0,0.0,0.0
1,139,540667.0,0,0.0,0.0
1,4,540921.0,0,0.0,0.0
7,24,556026.0,0,0.0,0.0
7,267,556395.0,0,0.0,0.0
7,169,557922.0,0,0.0,0.0
27,268,558223.0,0,0.0,0.0
33,269,566267.0,0,0.0,0.0
33,269,567649.0,0,0.0,0.0
8,56,569600.0,0,0.0,0.0
34,264,573075.0,0,0.0,0.0
20,270,573315.0,0,0.0,0.0
20,110,573958.0,0,0.0,0.0
13,271,574798.0,0,0.0,0.0
33,269,574798.0,0,0.0,0.0
8,32,574982.0,0,0.0,0.0
33,269,576688.0,0,0.0,0.0
4,194,576749.0,0,0.0,0.0
17,158,580321.0,0,0.0,0.0
21,13,583058.0,0,0.0,0.0
21,272,584007.0,0,0.0,0.0
21,2,584834.0,0,0.0,0.0
17,158,585123.0,0,0.0,0.0
15,262,585364.0,0,0.0,0.0
17,79,586870.0,0,0.0,0.0
15,273,586877.0,0,0.0,0.0
15,274,588338.0,0,0.0,0.0
4,45,589801.0,0,0.0,0.0
8,58,591708.0,0,0.0,0.0
7,69,592816.0,0,0.0,0.0
34,264,593613.0,0,0.0,0.0
8,174,593792.0,0,0.0,0.0
7,275,594217.0,0,0.0,0.0
7,67,595818.0,0,0.0,0.0
22,110,595938.0,0,0.0,0.0
15,32,596285.0,0,0.0,0.0
15,46,596522.0,0,0.0,0.0
22,139,598305.0,0,0.0,0.0
17,57,598922.0,0,0.0,0.0
17,79,600105.0,0,0.0,0.0
33,269,601007.0,0,0.0,0.0
8,119,601272.0,0,0.0,0.0
8,276,602001.0,0,0.0,0.0
1,139,602443.0,0,0.0,0.0
14,66,602633.0,0,0.0,0.0
17,8,603089.0,0,0.0,0.0
0,277,603361.0,0,0.0,0.0
17,158,607285.0,0,0.0,0.0
32,278,610739.0,0,0.0,0.0
32,163,612339.0,0,0.0,0.0
32,57,615071.0,0,0.0,0.0
32,279,620368.0,0,0.0,0.0
4,280,624442.0,0,0.0,0.0
32,279,625331.0,0,0.0,0.0
0,187,626415.0,0,0.0,0.0
0,263,626651.0,0,0.0,0.0
0,281,626881.0,0,0.0,0.0
0,172,627068.0,0,0.0,0.0
0,282,627262.0,0,0.0,0.0
0,283,627629.0,0,0.0,0.0
0,155,628004.0,0,0.0,0.0
0,50,628274.0,0,0.0,0.0
